Dnr,Formas1,Formas2,Kateg1,Kateg2,Kateg3
2016-01434,2,,,,
2016-01435,12,,,,
2016-01437,3,,,,
2016-01447,6,,,,
2016-01449,2,7,,,
2016-01462,15,13,,,
2016-01464,15,13,,,
2016-01465,15,13,,,
2016-01474,12,,,,
2016-01511,2,15,,,
2016-01520,7,,,,
2016-01523,11,,,,
2016-01535,17,,,,
2016-01540,12,,,,
2016-01556,17,,,,
2016-01571,12,,,,
2016-01580,13,,,,
2016-01584,15,,,,
2016-01598,11,,,,
2016-01639,3,,,,
2016-01646,11,3,,,
2016-01658,15,,,,
2016-01676,9,,,,
2016-01678,12,,,,
2016-01680,7,,,,
2016-01684,9,,,,
2016-01685,11,,,,
2016-01686,9,,,,
2016-01690,9,,,,
2016-01692,9,,,,
2016-01695,9,,,,
2016-01697,11,,,,
2016-01700,12,,,,
2016-01704,12,,,,
2016-01706,9,,,,
2016-01707,11,9,,,
2016-01727,2,,,,
2016-01728,2,,,,
2016-01744,2,,,,
2016-01760,2,,,,
2016-01761,2,,,,
2016-01767,2,,,,
2016-01770,2,,,,
2016-01775,2,,,,
2016-01778,2,,,,
2016-01787,2,,,,
2016-01790,2,,,,
2016-01796,14,,,,
2016-01809,12,7,,,
2016-01810,7,13,,,
2016-01811,15,14,,,
2016-01814,9,12,,,
2016-01816,9,,,,
2016-01817,15,,,,
2016-01818,2,,,,
2016-01820,2,,,,
2016-01821,3,2,,,
2016-01823,3,,,,
2016-01825,11,,,,
2016-01826,3,,,,
2016-01833,6,12,,,
2016-01843,2,,,,
2016-01850,12,,,,
2016-01858,11,,,,
2016-01859,6,,,,
2016-01864,15,,,,
2016-01877,16,,,,
2016-01893,11,,,,
2016-01921,15,,,,
2016-01924,15,13,,,
2016-01926,15,13,,,
2016-01927,15,,,,
2016-01930,14,,,,
2016-01938,11,15,,,
2016-01941,2,15,,,
2016-01945,11,15,,,
2016-01946,15,2,,,
2016-01948,15,,,,
2016-01949,15,,,,
2016-01981,12,,,,
2016-01990,12,,,,
2016-01991,15,,,,
2016-01992,3,,,,
2016-01995,12,,,,
2016-01997,9,,,,
2016-02003,9,,,,
2016-02004,3,,,,
2016-02011,12,,,,
2016-02018,14,,,,
2016-02021,15,,,,
2016-02031,3,,,,
2016-02040,9,,,,
2016-02042,11,,,,
2016-02043,11,,,,
2016-02044,11,,,,
2016-02045,15,6,,,
2016-02049,9,,,,
2016-02056,17,,,,
2016-02060,17,,,,
2016-02062,16,13,,,
2016-02063,15,10,,,
2016-02065,8,,,,
2016-02068,13,12,,,
2016-02069,9,12,,,
2016-02076,3,,,,
2016-02080,11,,,,
2016-02082,11,,,,
2016-02089,17,,,,
2016-02109,15,,,,
2016-02110,15,13,,,
2016-02111,15,,,,
2016-02112,15,,,,
2016-02113,12,,,,
2016-02117,14,,,,
2016-02131,13,,,,
2016-02136,13,,,,
2016-20001,7,,,,
2016-20002,12,,,,
2016-20004,12,,,,
2016-20005,15,6,,,
2016-20006,12,,,,
2016-20010,12,,,,
2016-20011,15,,,,
2016-20012,12,,,,
2016-20022,12,,,,
2016-20029,15,,,,
2016-20030,12,,,,
2016-20031,15,,,,
2016-20033,12,,,,
2016-20034,9,12,,,
2016-20037,15,,,,
2016-20038,2,,,,
2016-20046,11,,,,
2016-20049,7,,,,
2016-20050,11,,,,
2016-20056,15,2,,,
2016-20057,2,14,,,
2016-20058,12,,,,
2016-20061,12,,,,
2016-20063,12,,,,
2016-20064,12,,,,
2016-20066,12,,,,
2016-20069,2,,,,
2016-20071,12,,,,
2016-20073,6,,,,
2016-20074,6,,,,
2016-20075,6,,,,
2016-20079,11,,,,
2016-20080,7,,,,
2016-20089,6,,,,
2016-20090,6,,,,
2016-20092,12,,,,
2016-20097,11,,,,
2016-20098,11,,,,
2016-20099,12,,,,
2016-20101,11,,,,
2016-20102,9,,,,
2016-20103,11,,,,
2016-20106,16,,,,
2016-20107,11,16,,,
2016-20109,11,,,,
2016-20114,15,,,,
2016-20117,12,,,,
2016-20118,7,,,,
2016-20119,12,,,,
2016-20123,7,11,,,
2016-20126,9,,,,
2016-20128,12,11,,,
2016-20129,6,3,,,
2016-20131,7,,,,
2016-20135,13,11,,,
2017-00017,15,,,,
2017-00018,15,,,,
2017-00021,6,,,,
2017-00022,6,,,,
2017-00024,2,6,,,
2017-00026,6,2,,,
2017-00027,2,6,,,
2017-00028,10,,,,
2017-00029,2,,,,
2017-00033,4,,,,
