Dnr,Agenda_2030
2018-05313,3
2018-05185,3
2019-00077,3
2019-00103,3
2019-00104,3
2019-00105,3
2019-00106,3
2019-00129,3
2019-00782,3
2019-00861,3
2019-01040,3
2019-01106,3
2019-01186,3
2019-01441,3
2019-01458,3
2019-01464,3
2019-01498,3
2019-01525,3
2019-01534,3
2019-01549,3
2019-02160,3
2019-02182,3
2019-02205,3
2019-02208,3
2019-02289,3
2019-02355,3
2019-02547,3
2019-02554,3
2019-02559,3
2019-02715,3
2019-02815,3
2019-02887,3
2019-03059,3
2019-03085,3
2019-03086,3
2019-03103,3
2019-03160,3
2019-03335,3
2019-03376,3
2019-03488,3
2019-03500,3
2019-03532,3
2019-03594,3
2019-03616,3
2019-03620,3
2019-03714,3
2019-03971,3
2019-04510,3
2019-05130,3
2019-05800,3
2019-05819,3
2018-04942,3
2018-04952,3
2018-05147,3
2018-05393,3
2018-05395,3
2018-05397,3
2019-00230,3
2019-00255,3
2019-00621,3
2019-00670,3
2019-00715,3
2019-00754,3
2019-01019,3
2019-01096,3
2019-01365,3
2019-01774,3
2019-01902,3
2019-02187,3
2019-02225,3
2019-02226,3
2019-02278,3
2019-02344,3
2019-02347,3
2019-02423,3
2019-02447,3
2019-02459,3
2019-02504,3
2019-02513,3
2019-02567,3
2019-02568,3
2019-02575,3
2019-02578,3
2019-02650,3
2019-02655,3
2019-02656,3
2019-02661,3
2019-02698,3
2019-02722,3
2019-03559,3
2019-03609,3
2019-04349,3
2019-04395,3
2019-04419,3
2019-04820,3
2019-05259,3
2019-05373,3
2019-05830,3
2019-00048,3
2019-00056,3
2019-03060,3
2019-05255,3
2019-05264,3
2019-05314,3
2019-05429,3
2019-05438,3
2019-05480,3
2019-05491,3
2019-05629,3
2019-05652,3
2019-05674,3
2019-05675,3
2019-05713,3
2019-05931,3
2020-00049,3
2020-00148,3
2020-00229,3
2020-00343,3
2020-00349,3
2020-00438,3
2020-00442,3
2020-00445,3
2020-00464,3
2020-01014,3
2020-01042,3
2020-01144,3
2020-01395,3
2020-01425,3
2020-01497,3
2020-01611,3
2020-01633,3
2020-01970,3
2020-02026,3
2020-02102,3
2020-02152,3
2020-02196,3
2020-02232,3
2020-02329,3
2020-02330,3
2020-02376,3
2020-02451,3
2020-03051,3
2020-03052,3
2020-03108,3
2020-03146,3
2020-03156,3
2020-03158,3
2020-03186,3
2020-03601,3
2020-03633,3
2020-03635,3
2020-03868,3
2019-05280,3
2020-00015,3
2020-00020,3
2020-00021,3
2020-00167,3
2020-00194,3
2020-00212,3
2020-00222,3
2020-00223,3
2020-00230,3
2020-00231,3
2020-00340,3
2020-01815,3
2016-03915,3
2016-03967,3
2016-04056,3
2016-04057,3
2016-04934,3
2016-05140,3
2016-05164,3
2016-05204,3
2016-05223,3
2017-02105,3
2017-02473,3
2017-00539,3
2017-01108,3
2017-01265,3
2017-02280,3
2017-02470,3
2017-02983,3
2017-03062,3
2017-03077,3
2017-04532,3
2017-04721,3
2017-04827,3
2017-05120,3
2017-05218,3
2017-05291,3
2017-05299,3
2018-00436,3
2018-00593,3
2018-00683,3
2018-00698,3
2018-01511,3
2018-01840,3
2018-01875,3
2018-01972,3
2018-02553,3
2018-03065,3
2018-03100,3
2018-03112,3
2018-03649,3
2018-03890,3
2018-04557,3
2017-05639,3
2017-05641,3
2018-00180,3
2018-00185,3
2018-00187,3
2018-00245,3
2018-00260,3
2018-00290,3
2018-00299,3
2018-00305,3
2018-00347,3
2018-00540,3
2018-00742,3
2018-00788,3
2018-00840,3
2018-01161,3
2018-01207,3
2018-01234,3
2018-01256,3
2018-01418,3
2018-01442,3
2018-01491,3
2018-01805,3
2018-01855,3
2018-01871,3
2018-01915,3
2018-01922,3
2018-02086,3
2018-02137,3
2018-02252,3
2018-02271,3
2018-02278,3
2018-02350,3
2018-02470,3
2018-02534,3
2018-02639,3
2018-03111,3
2018-03241,3
2018-03252,3
2018-03281,3
2018-03303,3
2018-03378,3
2018-03458,3
2018-03477,3
2018-03498,3
2018-03499,3
2018-03657,3
2018-03690,3
2018-03863,3
2018-03973,3
2018-04038,3
2018-04189,3
2018-04212,3
2018-04236,3
2018-04259,3
2018-04272,3
2018-04365,3
2018-04492,3
2018-04532,3
2018-04644,3
2018-04670,3
2018-04673,3
2018-04727,3
2018-04792,3
2018-04866,3
2018-04910,3
2018-02874,3
2018-05142,3
2019-00077,3
2019-00780,3
2019-01160,3
2019-01207,3
2019-01310,3
2019-01389,3
2019-01443,3
2019-01467,3
2019-01502,3
2019-02110,3
2019-02565,3
2019-03068,3
2019-03093,3
2019-03558,3
2019-03591,3
2019-03616,3
2019-03617,3
2019-03826,3
2019-04321,3
2019-04413,3
2019-04518,3
2019-04526,3
2019-04723,3
2019-04793,3
2019-04801,3
2019-05038,3
2019-05044,3
2019-05130,3
2019-05144,3
2019-05156,3
2019-05208,3
2018-04942,3
2018-05200,3
2018-05382,3
2019-00147,3
2019-00234,3
2019-00235,3
2019-00364,3
2019-00414,3
2019-00468,3
2019-00583,3
2019-00590,3
2019-00666,3
2019-00668,3
2019-00681,3
2019-00759,3
2019-00809,3
2019-00860,3
2019-00945,3
2019-00962,3
2019-00974,3
2019-01062,3
2019-01774,3
2019-01798,3
2019-02271,3
2019-02323,3
2019-02329,3
2019-02398,3
2019-02464,3
2019-02469,3
2019-02474,3
2019-02655,3
2019-02796,3
2019-02823,3
2019-02893,3
2019-03523,3
2019-03588,3
2019-03729,3
2019-03808,3
2019-03815,3
2019-03996,3
2019-04404,3
2019-04494,3
2019-04563,3
2019-04697,3
2019-04779,3
2019-05789,3
2019-03060,3
2019-05482,3
2019-05520,3
2019-05566,3
2019-05632,3
2019-05644,3
2019-05682,3
2019-05871,3
2020-00144,3
2020-00158,3
2020-00268,3
2020-00280,3
2020-00445,3
2020-00449,3
2020-00469,3
2020-00470,3
2020-00590,3
2020-00614,3
2020-00729,3
2020-00765,3
2020-00767,3
2020-00929,3
2020-00990,3
2020-01035,3
2020-01043,3
2020-01395,3
2020-01613,3
2020-01685,3
2020-01752,3
2020-01839,3
2020-02232,3
2020-02409,3
2020-02443,3
2020-02452,3
2020-02625,3
2020-02758,3
2020-02865,3
2020-03006,3
2020-03051,3
2020-03076,3
2020-03094,3
2020-03103,3
2020-03108,3
2020-03150,3
2020-03175,3
2020-03176,3
2020-03355,3
2020-03367,3
2020-03595,3
2020-03662,3
2020-03848,3
2020-03850,3
2020-03938,3
2020-04002,3
2020-04207,3
2019-05555,3
2020-00022,3
2020-01436,3
2017-02169,3
2017-02287,3
2017-05299,3
2017-05309,3
2018-00436,3
2018-00441,3
2018-02804,3
2018-03350,3
2018-03890,3
2018-03896,3
2018-04337,3
2018-00131,3
2018-00187,3
2018-00260,3
2018-00311,3
2018-00968,3
2018-00977,3
2018-01003,3
2018-01009,3
2018-01804,3
2018-01815,3
2018-03241,3
2018-03282,3
2018-03293,3
2018-03378,3
2018-03433,3
2018-03499,3
2018-03838,3
2018-03863,3
2018-04189,3
2018-04196,3
2018-04270,3
2018-04718,3
2018-04866,3
2019-01443,3
2019-01472,3
2019-02287,3
2019-02355,3
2019-03076,3
2019-03093,3
2019-03119,3
2019-03500,3
2019-03760,3
2019-04534,3
2019-04850,3
2019-05130,3
2018-04932,3
2018-04942,3
2019-00230,3
2019-00267,3
2019-00419,3
2019-00738,3
2019-00809,3
2019-00942,3
2019-02474,3
2019-02557,3
2019-03815,3
2019-03996,3
2019-04286,3
2019-04332,3
2019-04404,3
2019-04437,3
2019-04494,3
2019-05373,3
2019-05644,3
2019-05674,3
2019-05871,3
2020-00068,3
2020-00268,3
2020-00677,3
2020-00940,3
2020-01014,3
2020-01035,3
2020-01611,3
2020-01613,3
2020-01839,3
2020-01866,3
2020-01991,3
2020-02026,3
2020-02043,3
2020-02205,3
2020-02232,3
2020-02426,3
2020-02452,3
2020-02509,3
2020-02512,3
2020-02545,3
2020-02676,3
2020-02737,3
2020-02754,3
2020-02865,3
2020-02896,3
2020-03005,3
2020-03006,3
2020-03099,3
2020-03100,3
2020-03103,3
2020-03108,3
2020-03146,3
2020-03150,3
2020-03175,3
2020-03176,3
2020-03195,3
2020-03256,3
2020-03315,3
2020-03325,3
2020-03353,3
2020-03367,3
2020-03517,3
2020-03850,3
2020-03916,3
2020-03960,3
2020-03974,3
2020-04002,3
2020-04004,3
2020-04207,3
2020-04239,3
2019-05555,3
2020-00230,3
2020-01914,3
2020-01964,3
2020-01989,3
2016-01652,3
2016-01685,3
2016-02978,3
2016-05280,3
2017-02715,3
2017-04892,3
2017-05005,3
2016-05396,3
2017-00725,3
2017-05003,3
2017-05012,3
2017-05013,3
2017-05030,3
2017-05059,3
2017-05070,3
2017-05074,3
2017-05498,3
2017-05501,3
2017-05516,3
2017-05531,3
2018-00675,3
2018-01764,3
2018-01929,3
2018-01930,3
2018-02680,3
2018-02727,3
2018-03208,3
2018-03649,3
2017-05468,3
2017-05503,3
2017-05517,3
2017-05522,3
2017-05526,3
2017-05535,3
2018-00326,3
2018-00610,3
2018-00914,3
2018-00977,3
2018-01496,3
2018-01523,3
2018-01615,3
2018-01738,3
2018-01789,3
2018-01931,3
2018-02010,3
2018-02012,3
2018-02359,3
2018-02722,3
2018-02760,3
2018-02986,3
2018-03291,3
2018-03637,3
2018-03679,3
2018-03991,3
2018-04235,3
2018-04298,3
2018-04457,3
2018-04756,3
2018-02228,3
2018-02879,3
2018-02890,3
2018-04636,3
2018-04996,3
2018-04998,3
2018-05001,3
2018-05016,3
2019-02083,3
2019-02484,3
2019-02576,3
2019-02746,3
2019-03067,3
2019-03082,3
2019-03085,3
2019-03095,3
2019-03097,3
2019-03104,3
2019-03121,3
2019-03589,3
2019-04813,3
2019-04830,3
2019-04844,3
2019-05088,3
2019-05095,3
2019-00456,3
2019-01030,3
2019-02680,3
2019-03092,3
2019-03247,3
2019-03501,3
2019-03502,3
2019-03771,3
2019-03865,3
2019-04424,3
2019-04508,3
2019-04909,3
2019-05212,3
2019-05256,3
2019-05586,3
2019-03386,3
2019-03402,3
2019-03418,3
2019-05828,3
2019-05843,3
2019-05847,3
2019-05871,3
2019-05873,3
2019-05876,3
2020-00350,3
2020-01001,3
2020-01120,3
2020-01289,3
2020-01847,3
2020-02512,3
2020-02793,3
2020-02914,3
2020-02923,3
2020-02941,3
2020-02943,3
2020-02945,3
2020-02952,3
2020-02955,3
2020-02957,3
2020-02959,3
2020-03704,3
2020-04048,3
2020-04364,3
2020-02406,3
2017-03106,3
2017-03397,3
2017-04939,3
2017-05218,3
2017-05283,3
2017-05486,3
2017-05405,3
2018-02207,3
2018-02383,3
2018-02553,3
2018-02666,3
2018-02830,3
2018-03239,3
2018-03336,3
2017-05468,3
2017-05639,3
2018-00290,3
2018-00334,3
2018-00346,3
2018-00541,3
2018-00646,3
2018-00981,3
2018-01003,3
2018-01068,3
2018-01495,3
2018-01826,3
2018-02125,3
2018-02416,3
2018-02427,3
2018-02780,3
2018-02977,3
2018-03273,3
2018-03308,3
2018-03320,3
2018-03700,3
2018-03720,3
2018-04365,3
2018-04402,3
2018-04555,3
2018-04580,3
2018-04644,3
2018-04866,3
2018-04911,3
2019-00847,3
2019-01467,3
2019-02287,3
2019-02365,3
2019-02662,3
2019-03117,3
2019-03566,3
2019-03589,3
2019-03591,3
2019-03690,3
2019-05353,3
2018-05172,3
2018-05298,3
2019-00176,3
2019-01009,3
2019-01022,3
2019-01085,3
2019-01347,3
2019-01567,3
2019-03682,3
2019-03729,3
2019-03731,3
2019-03799,3
2019-04045,3
2019-05012,3
2019-04886,3
2019-05181,3
2019-05672,3
2019-05871,3
2020-00344,3
2020-01227,3
2020-01295,3
2020-01339,3
2020-01577,3
2020-01588,3
2020-02443,3
2020-02445,3
2020-02583,3
2020-03670,3
2019-05182,3
2016-05249,3
2016-03915,3
2016-03947,3
2016-03967,3
2016-04017,3
2016-04056,3
2016-04057,3
2016-04083,3
2016-04214,3
2016-04218,3
2016-04396,3
2016-04727,3
2016-04783,3
2016-04809,3
2016-04810,3
2016-04823,3
2016-04885,3
2016-04934,3
2016-05005,3
2016-05017,3
2016-05028,3
2016-05058,3
2016-05060,3
2016-05093,3
2016-05107,3
2016-05134,3
2016-05135,3
2016-05139,3
2016-05140,3
2016-05164,3
2016-05204,3
2016-05217,3
2016-05223,3
2016-05294,3
2016-05373,3
2016-05176,3
2017-02016,3
2017-02105,3
2017-02461,3
2017-02473,3
2017-02697,3
2017-02705,3
2017-02909,3
2017-03583,3
2016-05414,3
2017-00498,3
2017-00525,3
2017-00539,3
2017-00816,3
2017-01108,3
2017-01136,3
2017-01265,3
2017-01683,3
2017-02027,3
2017-02070,3
2017-02088,3
2017-02137,3
2017-02155,3
2017-02211,3
2017-02278,3
2017-02280,3
2017-02287,3
2017-02320,3
2017-02329,3
2017-02337,3
2017-02356,3
2017-02365,3
2017-02465,3
2017-02470,3
2017-02500,3
2017-02662,3
2017-02663,3
2017-02952,3
2017-02963,3
2017-02983,3
2017-03022,3
2017-03023,3
2017-03062,3
2017-03077,3
2017-03175,3
2017-03291,3
2017-03362,3
2017-03752,3
2017-03789,3
2017-03828,3
2017-03955,3
2017-03997,3
2017-04041,3
2017-04101,3
2017-04173,3
2017-04179,3
2017-04404,3
2017-04532,3
2017-04721,3
2017-04807,3
2017-04827,3
2017-05215,3
2017-05291,3
2017-05519,3
2018-00432,3
2018-00622,3
2018-00675,3
2018-00700,3
2018-00763,3
2018-01281,3
2018-01776,3
2018-01875,3
2018-01942,3
2018-02007,3
2018-02244,3
2018-02322,3
2018-02329,3
2018-02512,3
2018-02918,3
2018-02950,3
2018-02997,3
2018-03001,3
2018-03071,3
2018-03223,3
2018-03226,3
2018-03239,3
2018-03651,3
2018-03655,3
2018-03878,3
2018-03880,3
2018-04156,3
2018-04174,3
2018-04488,3
2018-04501,3
2018-04574,3
2018-04863,3
2017-05397,3
2017-05508,3
2017-05636,3
2018-00114,3
2018-00177,3
2018-00185,3
2018-00226,3
2018-00254,3
2018-00275,3
2018-00305,3
2018-00347,3
2018-00525,3
2018-00539,3
2018-00625,3
2018-00711,3
2018-00742,3
2018-00840,3
2018-00879,3
2018-01058,3
2018-01123,3
2018-01131,3
2018-01161,3
2018-01204,3
2018-01207,3
2018-01236,3
2018-01240,3
2018-01316,3
2018-01321,3
2018-01331,3
2018-01405,3
2018-01476,3
2018-01646,3
2018-01690,3
2018-01789,3
2018-01855,3
2018-02029,3
2018-02094,3
2018-02179,3
2018-02280,3
2018-02290,3
2018-02292,3
2018-02327,3
2018-02350,3
2018-02418,3
2018-02424,3
2018-02457,3
2018-02461,3
2018-02470,3
2018-02495,3
2018-02498,3
2018-02525,3
2018-02762,3
2018-02953,3
2018-03197,3
2018-03242,3
2018-03272,3
2018-03282,3
2018-03353,3
2018-03360,3
2018-03369,3
2018-03421,3
2018-03427,3
2018-03456,3
2018-03671,3
2018-03682,3
2018-03695,3
2018-03716,3
2018-03721,3
2018-03732,3
2018-03863,3
2018-03901,3
2018-03988,3
2018-04007,3
2018-04193,3
2018-04212,3
2018-04229,3
2018-04233,3
2018-04236,3
2018-04242,3
2018-04251,3
2018-04256,3
2018-04259,3
2018-04392,3
2018-04393,3
2018-04492,3
2018-04712,3
2018-04857,3
2018-05276,3
2018-04622,3
2018-05059,3
2018-05127,3
2018-05203,3
2019-00780,3
2019-00782,3
2019-01090,3
2019-01099,3
2019-01107,3
2019-01207,3
2019-01209,3
2019-01247,3
2019-01405,3
2019-01423,3
2019-01431,3
2019-01458,3
2019-01463,3
2019-01464,3
2019-01502,3
2019-01526,3
2019-02055,3
2019-02095,3
2019-02122,3
2019-02261,3
2019-02289,3
2019-02298,3
2019-02363,3
2019-02365,3
2019-02526,3
2019-02554,3
2019-02679,3
2019-02909,3
2019-03066,3
2019-03111,3
2019-03119,3
2019-03542,3
2019-03568,3
2019-03608,3
2019-03838,3
2019-03947,3
2019-04412,3
2019-04500,3
2019-04548,3
2019-04613,3
2019-04624,3
2019-04710,3
2019-04723,3
2019-04735,3
2019-04753,3
2019-04786,3
2019-04805,3
2019-04815,3
2019-04850,3
2019-05014,3
2019-05130,3
2019-05156,3
2019-05222,3
2019-05360,3
2019-05392,3
2019-05795,3
2019-05819,3
2018-04953,3
2018-04957,3
2018-05308,3
2018-05320,3
2018-05380,3
2018-05398,3
2019-00147,3
2019-00176,3
2019-00212,3
2019-00226,3
