Dnr,Agenda_2030
2020-01192,5
2020-01460,5
2020-01470,5
2020-01498,5
2020-01893,5
2020-02504,5
2020-02516,5
2020-02868,5
2020-02993,5
2020-03092,5
2020-03261,5
2020-03882,5
2020-04020,5
2019-05818,5
2020-00052,5
2020-00194,5
2020-00231,5
2020-00566,5
2017-00680,5
2017-01167,5
2018-00217,5
2018-00422,5
2018-00467,5
2018-01507,5
2018-01676,5
2018-01694,5
2018-02299,5
2018-02300,5
2018-02512,5
2018-02585,5
2018-02752,5
2018-02922,5
2018-03208,5
2018-03552,5
2018-03554,5
2018-03563,5
2018-03651,5
2018-03821,5
2018-03905,5
2018-04020,5
2018-04102,5
2018-04164,5
2018-04493,5
2017-05410,5
2017-05442,5
2018-00299,5
2018-00357,5
2018-00473,5
2018-00490,5
2018-00491,5
2018-00538,5
2018-00914,5
2018-01347,5
2018-01357,5
2018-01380,5
2018-01388,5
2018-01412,5
2018-01418,5
2018-01500,5
2018-01605,5
2018-01610,5
2018-01615,5
2018-01627,5
2018-01630,5
2018-01633,5
2018-01671,5
2018-01678,5
2018-01691,5
2018-01881,5
2018-02096,5
2018-02143,5
2018-02272,5
2018-02429,5
2018-02953,5
2018-03176,5
2018-03313,5
2018-03795,5
2018-04233,5
2018-04255,5
2018-04642,5
2018-04678,5
2018-04729,5
2018-04800,5
2018-04830,5
2018-04839,5
2018-04898,5
2018-05276,5
2018-05396,5
2019-00786,5
2019-00801,5
2019-00848,5
2019-01150,5
2019-01940,5
2019-03029,5
2019-03314,5
2019-03828,5
2019-05800,5
2018-04605,5
2019-00198,5
2019-00235,5
2019-00922,5
2019-00938,5
2019-00945,5
2019-00950,5
2019-01046,5
2019-01555,5
2019-01704,5
2019-01774,5
2019-01783,5
2019-02029,5
2019-02501,5
2019-03254,5
2019-04161,5
2019-05273,5
2019-05479,5
2019-05606,5
2019-05883,5
2020-00133,5
2020-00532,5
2020-00589,5
2020-01151,5
2020-01335,5
2020-01586,5
2020-01618,5
2020-01527,5
2017-02169,6
2017-00444,6
2017-01439,6
2017-03757,6
2018-01509,6
2018-02500,6
2018-02910,6
2018-04178,6
2018-04337,6
2018-00098,6
2018-00114,6
2018-00228,6
2018-00308,6
2018-00324,6
2018-00415,6
2018-00858,6
2018-00868,6
2018-00934,6
2018-01399,6
2018-02293,6
2018-02786,6
2018-02978,6
2018-03106,6
2018-03264,6
2018-03320,6
2018-03680,6
2018-03700,6
2018-03790,6
2018-04270,6
2018-04299,6
2018-04595,6
2019-01139,6
2019-02342,6
2019-03053,6
2019-03459,6
2019-03621,6
2019-04892,6
2019-04975,6
2019-05353,6
2018-05299,6
2019-01017,6
2019-01026,6
2019-01319,6
2019-04098,6
2019-04437,6
2019-04912,6
2019-05244,6
2019-05829,6
2019-05181,6
2020-00376,6
2020-01339,6
2020-01842,6
2016-05279,6
2017-03232,6
2017-03495,6
2017-00714,6
2017-01439,6
2017-02166,6
2017-03362,6
2017-03869,6
2017-04912,6
2017-05283,6
2017-05309,6
2018-00435,6
2018-00441,6
2018-00805,6
2018-00846,6
2018-01458,6
2018-01509,6
2018-01776,6
2018-01840,6
2018-02148,6
2018-02388,6
2018-02553,6
2018-02804,6
2018-02921,6
2018-03336,6
2018-03349,6
2018-04463,6
2018-04501,6
2017-05456,6
2018-00098,6
2018-00213,6
2018-00228,6
2018-00324,6
2018-00334,6
2018-00346,6
2018-00378,6
2018-00415,6
2018-00652,6
2018-00757,6
2018-00858,6
2018-00868,6
2018-00965,6
2018-00983,6
2018-01191,6
2018-01755,6
2018-02088,6
2018-02293,6
2018-02294,6
2018-02359,6
2018-02416,6
2018-02421,6
2018-02516,6
2018-02848,6
2018-03106,6
2018-03107,6
2018-03124,6
2018-03264,6
2018-03307,6
2018-03308,6
2018-03320,6
2018-03352,6
2018-03409,6
2018-03460,6
2018-03680,6
2018-03700,6
2018-03726,6
2018-03732,6
2018-03740,6
2018-03856,6
2018-03857,6
2018-03926,6
2018-03927,6
2018-04267,6
2018-04270,6
2018-04384,6
2018-04404,6
2018-04550,6
2018-04644,6
2018-04870,6
2018-04610,6
2018-05042,6
2018-05205,6
2019-00077,6
2019-00843,6
2019-02055,6
2019-02088,6
2019-02246,6
2019-02298,6
2019-02342,6
2019-02933,6
2019-03040,6
2019-03053,6
2019-03613,6
2019-03788,6
2019-04699,6
2019-04701,6
2019-04715,6
2019-04892,6
2019-04980,6
2018-05110,6
2018-05148,6
2018-05305,6
2019-00171,6
2019-00248,6
2019-00320,6
2019-00419,6
2019-00952,6
2019-00954,6
2019-01009,6
2019-01064,6
2019-01319,6
2019-02426,6
2019-02474,6
2019-03375,6
2019-03458,6
2019-03514,6
2019-03799,6
2019-04020,6
2019-04098,6
2019-04286,6
2019-05207,6
2019-05375,6
2019-05382,6
2019-05799,6
2019-05829,6
2019-05919,6
2019-00041,6
2019-05189,6
2019-05192,6
2019-05195,6
2019-05275,6
2019-05900,6
2019-05910,6
2020-00049,6
2020-00054,6
2020-00079,6
2020-00095,6
2020-00251,6
2020-00652,6
2020-00671,6
2020-00767,6
2020-01052,6
2020-01132,6
2020-01339,6
2020-01456,6
2020-01683,6
2020-01760,6
2020-01831,6
2020-02097,6
2020-02583,6
2020-03006,6
2020-03634,6
2020-03726,6
2020-03746,6
2020-03750,6
2020-00567,6
2020-02438,6
2017-00781,6
2018-00601,6
2018-01451,6
2018-02341,6
2018-02500,6
2018-03089,6
2018-03565,6
2018-00114,6
2018-00187,6
2018-00223,6
2018-00228,6
2018-00415,6
2018-00842,6
2018-00854,6
2018-00858,6
2018-00934,6
2018-00983,6
2018-01733,6
2018-01755,6
2018-02293,6
2018-03106,6
2018-03409,6
2018-03435,6
2018-03460,6
2018-03680,6
2018-04595,6
2018-04768,6
2019-02056,6
2019-04892,6
2019-00425,6
2019-00580,6
2019-00954,6
2019-01026,6
2019-01061,6
2019-02487,6
2019-03260,6
2019-04117,6
2019-04428,6
2019-04437,6
2019-05799,6
2019-05830,6
2020-00097,6
2020-00133,6
2020-00671,6
2020-01246,6
2020-01281,6
2020-01842,6
2020-02396,6
2020-03395,6
2016-04525,7
2017-03270,7
2017-03390,7
2017-00988,7
2017-01190,7
2017-01201,7
2017-03273,7
2017-04035,7
2017-04666,7
2017-04809,7
2017-04851,7
2017-05111,7
2017-05173,7
2017-05401,7
2017-05405,7
2017-05408,7
2018-00155,7
2018-00482,7
2018-00585,7
2018-00843,7
2018-01530,7
2018-02588,7
2018-02795,7
2018-02809,7
2018-03654,7
2018-03822,7
2018-03934,7
2018-04684,7
2018-04981,7
2017-05457,7
2017-05458,7
2017-05620,7
2018-00195,7
2018-00334,7
2018-00389,7
2018-00550,7
2018-00587,7
2018-00625,7
2018-00646,7
2018-01009,7
2018-01096,7
2018-01097,7
2018-01109,7
2018-01236,7
2018-01249,7
2018-01308,7
2018-01331,7
2018-01357,7
2018-01737,7
2018-01901,7
2018-02149,7
2018-02351,7
2018-02360,7
2018-02426,7
2018-02433,7
2018-02435,7
2018-02453,7
2018-02455,7
2018-02495,7
2018-02590,7
2018-02592,7
2018-02597,7
2018-02627,7
2018-02682,7
2018-02719,7
2018-02862,7
2018-03092,7
2018-03101,7
2018-03151,7
2018-03292,7
2018-03294,7
2018-03304,7
2018-03369,7
2018-03375,7
2018-03384,7
2018-03698,7
2018-03787,7
2018-03801,7
2018-03820,7
2018-03834,7
2018-04263,7
2018-04282,7
2018-04309,7
2018-04324,7
2018-04407,7
2018-04414,7
2018-04538,7
2018-04665,7
2018-04680,7
2018-04700,7
2018-04779,7
2018-04909,7
2019-00862,7
2019-01176,7
2019-01561,7
2019-02069,7
2019-02095,7
2019-02342,7
2019-02546,7
2019-02556,7
2019-02637,7
2019-03059,7
2019-03126,7
2019-03128,7
2019-03250,7
2019-03604,7
2019-03613,7
2019-04795,7
2019-04927,7
2019-05028,7
2019-05351,7
2019-05354,7
2019-05393,7
2019-05833,7
2019-05905,7
2019-00088,7
2019-00256,7
2019-00307,7
2019-00322,7
2019-00618,7
2019-00638,7
2019-00755,7
2019-00963,7
2019-01068,7
2019-01579,7
2019-01897,7
2019-02130,7
2019-02651,7
2019-02702,7
2019-03564,7
2019-03948,7
2019-04201,7
2019-04348,7
2019-04387,7
2019-04397,7
2019-04505,7
2019-04682,7
2019-04822,7
2019-05114,7
2019-05357,7
2019-05377,7
2019-05382,7
2019-05921,7
2019-00064,7
2019-05320,7
2019-05664,7
2019-05677,7
2019-05698,7
2019-05738,7
2019-05821,7
2020-00050,7
2020-00096,7
2020-00439,7
2020-00442,7
2020-00731,7
2020-00788,7
2020-00842,7
2020-00845,7
2020-01067,7
2020-01139,7
2020-01228,7
2020-01681,7
2020-02407,7
2020-02410,7
2020-02449,7
2020-02823,7
2020-02886,7
2020-03056,7
2020-03093,7
2020-03395,7
2020-03406,7
2020-03489,7
2020-03640,7
2020-03672,7
2020-03708,7
2020-00021,7
2020-00761,7
2020-01487,7
2020-01622,7
2020-02387,7
2020-02395,7
2017-01536,7
2017-02060,7
2017-02869,7
2017-05111,7
2017-05173,7
2017-05337,7
2017-05401,7
2018-00155,7
2018-00585,7
2018-00843,7
2018-01530,7
2018-01584,7
2018-02244,7
2018-02985,7
2018-03031,7
2018-03115,7
2018-03341,7
2018-03349,7
2018-03481,7
2018-03652,7
2018-03654,7
2018-04506,7
2017-05457,7
2017-05458,7
2017-05514,7
2017-05620,7
2018-00195,7
2018-00327,7
2018-00468,7
2018-00550,7
2018-00587,7
2018-00753,7
2018-00884,7
2018-01009,7
2018-01109,7
2018-01191,7
2018-01308,7
2018-01702,7
2018-01874,7
2018-01890,7
2018-01901,7
2018-02135,7
2018-02149,7
2018-02360,7
2018-02426,7
2018-02434,7
2018-02453,7
2018-02529,7
2018-02590,7
2018-02627,7
2018-02642,7
2018-02682,7
2018-02726,7
2018-02862,7
2018-02978,7
2018-03092,7
2018-03094,7
2018-03151,7
2018-03176,7
2018-03184,7
2018-03253,7
2018-03304,7
2018-03477,7
2018-03496,7
2018-03683,7
2018-03834,7
2018-03950,7
2018-03951,7
2018-03998,7
2018-04158,7
2018-04266,7
2018-04282,7
2018-04291,7
2018-04309,7
2018-04324,7
2018-04523,7
2018-04538,7
2018-04597,7
2018-04909,7
2018-05008,7
2019-00862,7
2019-01057,7
2019-01201,7
2019-01562,7
2019-02313,7
2019-02521,7
2019-02795,7
2019-03066,7
2019-03097,7
2019-03174,7
2019-03604,7
2019-04282,7
2019-04991,7
2019-05354,7
2019-05393,7
2018-04631,7
2018-04943,7
2018-05120,7
2018-05299,7
2019-00307,7
2019-00322,7
2019-00562,7
2019-00755,7
2019-01579,7
2019-01742,7
2019-02165,7
2019-02651,7
2019-02726,7
2019-03050,7
2019-03564,7
2019-03852,7
2019-04160,7
2019-04348,7
2019-04387,7
2019-04682,7
2019-04788,7
2019-05215,7
2019-05789,7
2019-04865,7
2019-04881,7
2019-05188,7
2019-05677,7
2019-05738,7
2019-05792,7
2019-05821,7
2019-05877,7
2020-00311,7
2020-00623,7
2020-00790,7
2020-00802,7
2020-00825,7
2020-01052,7
2020-01139,7
2020-01191,7
2020-01228,7
2020-01882,7
2020-02321,7
2020-02334,7
2020-02410,7
2020-02449,7
2020-03056,7
2020-03489,7
2020-03687,7
2020-03844,7
2020-00021,7
2020-00761,7
2020-01487,7
2020-01622,7
2016-03919,7
2016-04125,7
2016-04436,7
2016-04731,7
2017-02105,7
2017-03063,7
2017-03495,7
2017-04841,7
2017-04888,7
2017-04894,7
2017-04897,7
2017-05107,7
2016-05398,7
2016-05404,7
2017-00365,7
2017-00470,7
2017-00563,7
2017-00686,7
2017-01538,7
2017-02869,7
2017-03105,7
2017-03163,7
2017-03511,7
2017-03923,7
2017-04056,7
2017-04186,7
2017-04309,7
2017-04560,7
2017-04760,7
2017-04862,7
2017-04913,7
2017-05006,7
2017-05074,7
2017-05125,7
2017-05230,7
2017-05491,7
2017-05505,7
2017-05506,7
2017-05512,7
2017-05531,7
2018-00034,7
2018-00585,7
2018-00594,7
2018-00794,7
2018-00843,7
2018-01505,7
2018-01518,7
2018-01530,7
2018-01533,7
2018-01536,7
2018-01551,7
2018-01554,7
2018-01776,7
2018-01829,7
2018-01930,7
2018-01934,7
2018-01991,7
2018-02191,7
2018-02232,7
2018-02238,7
2018-02341,7
2018-02593,7
2018-02670,7
2018-02698,7
2018-02747,7
2018-02752,7
2018-02759,7
2018-02810,7
2018-02937,7
2018-03032,7
2018-03113,7
2018-03115,7
2018-03315,7
2018-03481,7
2018-03618,7
2018-04106,7
2018-04156,7
2018-04506,7
2018-04558,7
2018-04571,7
2018-04604,7
2018-04637,7
2017-05437,7
2017-05457,7
2017-05468,7
2017-05514,7
2017-05601,7
2018-00058,7
2018-00114,7
2018-00195,7
2018-00326,7
2018-00353,7
2018-00377,7
2018-00550,7
2018-00610,7
2018-00664,7
2018-00668,7
2018-00753,7
2018-00757,7
2018-00914,7
2018-00934,7
2018-01009,7
2018-01074,7
2018-01097,7
2018-01308,7
2018-01316,7
2018-01331,7
2018-01472,7
2018-01539,7
2018-01638,7
2018-01671,7
2018-01702,7
2018-01703,7
2018-01754,7
2018-01817,7
2018-01834,7
2018-01896,7
2018-02015,7
2018-02108,7
2018-02137,7
2018-02140,7
2018-02149,7
2018-02180,7
2018-02241,7
2018-02294,7
2018-02320,7
2018-02321,7
2018-02334,7
2018-02426,7
2018-02433,7
2018-02453,7
2018-02464,7
2018-02494,7
2018-02522,7
2018-02523,7
2018-02525,7
2018-02590,7
2018-02597,7
2018-02682,7
2018-02726,7
2018-02784,7
2018-02848,7
2018-02856,7
2018-02862,7
2018-03047,7
2018-03092,7
2018-03094,7
2018-03185,7
2018-03190,7
2018-03204,7
2018-03273,7
2018-03292,7
2018-03301,7
2018-03305,7
2018-03354,7
2018-03384,7
2018-03391,7
2018-03402,7
2018-03464,7
2018-03487,7
2018-03585,7
2018-03591,7
2018-03617,7
2018-03690,7
2018-03790,7
2018-03834,7
2018-03928,7
2018-03929,7
2018-03952,7
2018-03958,7
2018-03986,7
2018-03988,7
2018-03998,7
2018-04010,7
2018-04152,7
2018-04265,7
2018-04266,7
2018-04274,7
2018-04282,7
2018-04304,7
2018-04312,7
2018-04324,7
2018-04363,7
2018-04407,7
2018-04414,7
2018-04433,7
2018-04455,7
2018-04486,7
2018-04523,7
2018-04534,7
2018-04538,7
2018-04541,7
2018-04552,7
2018-04592,7
2018-04597,7
2018-04708,7
2018-04756,7
2018-04767,7
2018-04768,7
2018-04870,7
2018-04916,7
2018-04622,7
2018-04951,7
2018-05008,7
2018-05022,7
2018-05042,7
2019-00862,7
2019-01139,7
2019-01177,7
2019-01201,7
2019-02059,7
2019-02063,7
2019-02074,7
2019-02095,7
2019-02200,7
2019-02201,7
2019-02313,7
2019-02521,7
2019-02576,7
2019-02604,7
2019-02608,7
2019-02610,7
2019-02624,7
2019-02703,7
2019-02747,7
2019-02750,7
2019-02768,7
2019-02772,7
2019-02881,7
2019-03098,7
2019-03117,7
2019-03126,7
2019-03233,7
2019-03591,7
2019-03605,7
2019-03739,7
2019-03900,7
2019-04434,7
2019-04504,7
2019-04747,7
2019-04795,7
2019-04927,7
2019-05028,7
2019-05061,7
2019-05135,7
2019-05252,7
2019-05351,7
2019-05360,7
2019-05369,7
2019-05392,7
2019-05578,7
2019-05587,7
2019-05798,7
2018-04623,7
2018-04946,7
2018-05110,7
2018-05217,7
2018-05299,7
2018-05384,7
2019-00079,7
2019-00238,7
2019-00338,7
2019-00410,7
2019-00424,7
2019-00442,7
2019-00456,7
2019-00470,7
2019-00490,7
2019-00503,7
2019-00522,7
2019-00618,7
2019-00695,7
2019-00770,7
2019-00946,7
2019-00954,7
2019-00968,7
2019-01061,7
2019-01298,7
2019-01319,7
2019-01342,7
2019-01347,7
2019-01369,7
2019-01370,7
2019-01579,7
2019-01593,7
2019-01897,7
2019-02165,7
2019-02426,7
2019-02475,7
2019-02487,7
2019-02534,7
2019-02586,7
2019-02597,7
2019-02612,7
2019-02843,7
2019-02849,7
2019-02868,7
2019-02889,7
2019-02911,7
2019-03267,7
2019-03286,7
2019-03514,7
2019-03564,7
2019-03588,7
2019-03731,7
2019-03852,7
2019-03934,7
2019-03948,7
2019-03974,7
2019-03975,7
2019-04008,7
2019-04348,7
2019-04392,7
2019-04428,7
2019-04503,7
2019-04505,7
2019-04681,7
2019-04682,7
2019-04769,7
2019-04773,7
2019-04800,7
2019-04917,7
2019-04979,7
2019-05011,7
2019-05026,7
2019-05037,7
2019-05357,7
2019-05373,7
2019-05385,7
2019-05399,7
2019-05585,7
2019-05586,7
2019-05829,7
2019-05830,7
2019-05917,7
2019-00041,7
2019-00064,7
2019-00068,7
2019-04887,7
2019-05094,7
2019-05100,7
2019-05183,7
2019-05194,7
2019-05269,7
2019-05299,7
2019-05320,7
2019-05371,7
2019-05470,7
2019-05583,7
2019-05589,7
2019-05632,7
2019-05635,7
2019-05638,7
2019-05645,7
2019-05664,7
2019-05672,7
2019-05684,7
2019-05686,7
2019-05713,7
2019-05782,7
2019-05805,7
2019-05820,7
2019-05891,7
2020-00048,7
2020-00054,7
2020-00097,7
2020-00153,7
2020-00188,7
2020-00273,7
2020-00310,7
2020-00311,7
2020-00315,7
2020-00439,7
2020-00588,7
2020-00763,7
2020-00773,7
2020-00797,7
2020-00798,7
2020-00825,7
2020-00831,7
2020-00936,7
2020-00962,7
2020-00979,7
2020-00991,7
2020-01000,7
2020-01001,7
2020-01153,7
2020-01171,7
2020-01227,7
2020-01228,7
2020-01246,7
2020-01296,7
2020-01387,7
2020-01920,7
2020-02097,7
2020-02192,7
2020-02376,7
2020-02439,7
2020-02442,7
2020-02445,7
2020-02447,7
2020-02449,7
2020-02486,7
2020-02495,7
2020-02816,7
2020-02905,7
2020-02908,7
2020-02999,7
2020-03056,7
2020-03434,7
2020-03489,7
2020-03631,7
2020-03641,7
2020-03698,7
2020-03768,7
2020-03778,7
2020-03844,7
2020-03850,7
2020-03853,7
2020-04041,7
2020-04080,7
2020-04526,7
2020-00705,7
2020-00761,7
2020-01349,7
2020-02406,7
2020-02492,7
2016-04682,8
2016-01616,8
2016-01649,8
2016-01652,8
2016-01656,8
2016-01658,8
2016-02762,8
2016-02928,8
2016-03919,8
2016-03967,8
2016-04041,8
2016-04125,8
2016-04210,8
2016-04217,8
2016-04332,8
2016-04442,8
2016-04446,8
2016-04472,8
2016-04475,8
2016-04477,8
2016-04483,8
2016-04486,8
2016-04628,8
2016-04727,8
2016-04735,8
2016-04783,8
2016-04799,8
2016-04823,8
2016-04953,8
2016-04987,8
2016-04995,8
2016-05005,8
2016-05037,8
2016-05044,8
2016-05073,8
2016-05094,8
2016-05120,8
2016-05413,8
2017-02105,8
2017-02170,8
2017-02258,8
2017-02435,8
2017-02437,8
2017-02447,8
2017-02461,8
2017-02562,8
2017-02649,8
2017-02697,8
2017-02708,8
2017-02741,8
2017-02803,8
2017-02960,8
2017-02984,8
2017-02999,8
2017-03001,8
2017-03033,8
2017-03046,8
2017-03057,8
2017-03070,8
2017-03087,8
2017-03108,8
2017-03265,8
2017-03512,8
2017-03521,8
2017-03538,8
2017-03668,8
2017-04771,8
2017-04773,8
2017-04776,8
2017-04858,8
2017-04860,8
2017-04868,8
2017-04955,8
2017-05375,8
2017-05388,8
2016-05254,8
2017-00164,8
2017-00179,8
2017-00284,8
2017-00510,8
2017-00539,8
2017-00560,8
2017-00594,8
2017-00600,8
2017-00617,8
2017-00635,8
2017-00644,8
2017-00666,8
2017-00693,8
2017-00713,8
2017-00853,8
2017-01000,8
2017-01001,8
2017-01023,8
2017-01033,8
2017-01104,8
2017-01141,8
2017-01192,8
2017-01221,8
2017-01250,8
2017-01266,8
2017-01297,8
2017-01994,8
2017-02060,8
2017-02088,8
2017-02365,8
2017-02399,8
2017-02511,8
2017-02513,8
2017-02516,8
2017-02544,8
2017-02572,8
2017-02613,8
2017-02632,8
2017-02743,8
2017-02850,8
2017-02866,8
2017-02920,8
2017-02929,8
2017-02983,8
2017-02994,8
2017-03020,8
2017-03025,8
2017-03073,8
2017-03096,8
2017-03103,8
2017-03163,8
2017-03164,8
2017-03166,8
2017-03216,8
2017-03267,8
2017-03269,8
2017-03273,8
2017-03330,8
2017-03370,8
2017-03382,8
2017-03424,8
2017-03464,8
2017-03488,8
2017-03509,8
2017-03552,8
2017-03592,8
2017-03602,8
2017-03608,8
2017-03617,8
2017-03629,8
2017-03631,8
2017-03654,8
2017-03666,8
2017-03725,8
2017-03789,8
2017-03804,8
2017-03997,8
2017-04404,8
2017-04414,8
2017-04517,8
2017-04518,8
2017-04568,8
2017-04653,8
2017-04668,8
2017-04693,8
2017-04705,8
2017-04708,8
2017-04752,8
2017-04763,8
2017-04765,8
2017-04801,8
2017-04813,8
2017-04829,8
2017-04830,8
2017-04833,8
2017-04862,8
2017-04881,8
2017-04939,8
2017-04973,8
2017-05029,8
2017-05042,8
2017-05046,8
2017-05104,8
2017-05120,8
2017-05147,8
2017-05230,8
2017-05330,8
2017-05363,8
2017-05366,8
2017-05402,8
2017-05408,8
2017-05481,8
2017-05533,8
2017-05540,8
2017-05552,8
2018-00422,8
2018-00451,8
2018-00588,8
2018-00599,8
2018-00601,8
2018-00675,8
2018-00735,8
2018-00785,8
2018-00786,8
2018-00794,8
2018-00803,8
2018-01274,8
2018-01279,8
2018-01281,8
2018-01451,8
2018-01459,8
2018-01464,8
2018-01517,8
2018-01530,8
2018-01533,8
2018-01536,8
2018-01551,8
2018-01554,8
2018-01582,8
2018-01588,8
2018-01764,8
2018-01765,8
2018-01991,8
2018-02089,8
2018-02148,8
2018-02191,8
2018-02202,8
2018-02227,8
2018-02230,8
2018-02298,8
2018-02299,8
2018-02300,8
2018-02302,8
2018-02373,8
2018-02380,8
2018-02390,8
2018-02512,8
2018-02551,8
2018-02554,8
2018-02581,8
2018-02589,8
2018-02671,8
2018-02695,8
2018-02698,8
2018-02707,8
2018-02754,8
2018-02787,8
2018-02831,8
2018-02855,8
2018-02901,8
2018-02908,8
2018-02909,8
2018-02910,8
2018-02912,8
2018-02914,8
2018-02937,8
2018-02948,8
2018-02950,8
2018-02955,8
2018-02997,8
2018-03019,8
2018-03039,8
2018-03114,8
2018-03244,8
2018-03245,8
2018-03311,8
2018-03334,8
2018-03522,8
2018-03524,8
2018-03532,8
2018-03587,8
2018-03593,8
2018-03618,8
2018-03621,8
2018-03824,8
2018-03829,8
2018-03868,8
2018-03905,8
2018-04106,8
2018-04110,8
2018-04164,8
2018-04352,8
2018-04357,8
2018-04417,8
2018-04501,8
2018-04502,8
2018-04503,8
2018-04513,8
2018-04575,8
2018-04604,8
2018-04648,8
2018-04672,8
2018-04797,8
2018-04834,8
2018-04903,8
2018-04977,8
2018-04983,8
2018-04985,8
2018-05238,8
2017-04727,8
2017-05410,8
2017-05437,8
2017-05450,8
2017-05468,8
2017-05513,8
2017-05535,8
2017-05541,8
2017-05591,8
2017-05622,8
2017-05641,8
2018-00058,8
2018-00094,8
2018-00098,8
2018-00170,8
2018-00172,8
2018-00187,8
2018-00368,8
2018-00466,8
2018-00473,8
2018-00487,8
2018-00490,8
2018-00496,8
2018-00504,8
2018-00510,8
2018-00524,8
2018-00671,8
2018-00682,8
2018-00738,8
2018-00771,8
2018-00800,8
2018-00834,8
2018-00842,8
2018-00884,8
2018-00934,8
2018-00949,8
2018-00986,8
2018-01008,8
2018-01030,8
2018-01045,8
2018-01056,8
2018-01067,8
2018-01070,8
2018-01076,8
2018-01089,8
2018-01096,8
2018-01102,8
2018-01117,8
2018-01132,8
2018-01136,8
2018-01138,8
2018-01158,8
2018-01167,8
2018-01171,8
2018-01180,8
2018-01203,8
2018-01256,8
2018-01358,8
2018-01399,8
2018-01404,8
2018-01405,8
2018-01472,8
2018-01476,8
2018-01479,8
2018-01493,8
2018-01494,8
2018-01500,8
2018-01534,8
2018-01539,8
2018-01540,8
2018-01633,8
2018-01635,8
2018-01638,8
2018-01721,8
2018-01732,8
2018-01733,8
2018-01738,8
2018-01745,8
2018-01757,8
2018-01796,8
2018-01818,8
2018-01824,8
2018-01827,8
2018-01860,8
2018-01883,8
2018-01888,8
2018-01889,8
2018-01890,8
2018-01914,8
2018-02010,8
2018-02016,8
2018-02040,8
2018-02067,8
2018-02130,8
2018-02135,8
2018-02137,8
2018-02143,8
2018-02144,8
2018-02157,8
2018-02159,8
2018-02175,8
2018-02209,8
2018-02233,8
2018-02272,8
2018-02297,8
2018-02304,8
2018-02312,8
2018-02340,8
2018-02346,8
2018-02363,8
2018-02368,8
2018-02372,8
2018-02416,8
2018-02419,8
2018-02422,8
2018-02436,8
2018-02437,8
2018-02449,8
2018-02454,8
2018-02460,8
2018-02498,8
2018-02516,8
2018-02517,8
2018-02523,8
2018-02534,8
2018-02558,8
2018-02642,8
2018-02679,8
2018-02683,8
2018-02722,8
2018-02726,8
2018-02763,8
2018-02770,8
2018-02772,8
2018-02779,8
2018-02780,8
2018-02784,8
2018-02786,8
2018-02788,8
2018-02820,8
2018-02842,8
2018-02856,8
2018-02946,8
2018-02961,8
2018-03000,8
2018-03047,8
2018-03082,8
2018-03095,8
2018-03159,8
2018-03168,8
2018-03183,8
2018-03218,8
2018-03294,8
2018-03321,8
2018-03362,8
2018-03378,8
2018-03381,8
2018-03401,8
2018-03464,8
2018-03513,8
2018-03581,8
2018-03585,8
2018-03591,8
2018-03608,8
2018-03613,8
2018-03617,8
2018-03635,8
2018-03642,8
2018-03713,8
2018-03714,8
2018-03721,8
2018-03725,8
2018-03728,8
2018-03813,8
2018-03818,8
2018-03843,8
2018-03844,8
2018-03950,8
2018-03951,8
2018-03952,8
2018-03971,8
2018-03977,8
2018-03981,8
2018-03986,8
2018-04015,8
2018-04021,8
2018-04264,8
2018-04267,8
2018-04298,8
2018-04304,8
2018-04308,8
2018-04312,8
2018-04314,8
2018-04321,8
2018-04325,8
2018-04328,8
2018-04330,8
2018-04331,8
2018-04334,8
2018-04343,8
2018-04350,8
2018-04359,8
2018-04363,8
2018-04367,8
2018-04373,8
2018-04382,8
2018-04391,8
2018-04395,8
2018-04412,8
2018-04413,8
2018-04415,8
2018-04420,8
2018-04434,8
2018-04457,8
2018-04464,8
2018-04485,8
2018-04487,8
2018-04514,8
2018-04533,8
2018-04553,8
2018-04554,8
2018-04567,8
2018-04593,8
2018-04642,8
2018-04671,8
2018-04680,8
2018-04691,8
2018-04756,8
2018-04770,8
2018-04774,8
2018-04793,8
2018-04794,8
2018-04815,8
2018-04816,8
2018-04833,8
2018-04838,8
2018-04855,8
2018-04862,8
2018-04877,8
2018-04896,8
2018-04897,8
2018-04898,8
2018-04901,8
2018-05277,8
2018-05291,8
2018-02891,8
2018-04622,8
2018-04837,8
2018-05001,8
2018-05026,8
2018-05064,8
2018-05066,8
2018-05118,8
2018-05185,8
2018-05186,8
2018-05199,8
2018-05292,8
2018-05295,8
2019-00130,8
2019-00753,8
2019-00778,8
2019-00779,8
2019-00789,8
2019-01115,8
2019-01215,8
2019-01310,8
2019-01441,8
2019-01463,8
2019-01910,8
2019-02063,8
2019-02083,8
2019-02084,8
2019-02087,8
2019-02088,8
2019-02093,8
2019-02170,8
2019-02243,8
2019-02244,8
2019-02261,8
2019-02305,8
2019-02371,8
2019-02548,8
2019-02587,8
2019-02621,8
2019-02637,8
2019-02662,8
2019-02743,8
2019-02747,8
2019-02750,8
2019-02752,8
2019-02773,8
2019-02780,8
2019-02787,8
2019-02831,8
2019-02835,8
2019-02881,8
2019-02934,8
2019-02941,8
2019-02957,8
2019-02996,8
2019-03017,8
2019-03018,8
2019-03021,8
2019-03029,8
2019-03032,8
2019-03040,8
2019-03042,8
2019-03073,8
2019-03079,8
2019-03095,8
2019-03111,8
2019-03119,8
2019-03128,8
2019-03180,8
